title,genres,description
Inception,"sci-fi action thriller","A thief enters dreams to steal secrets and plant ideas."
Interstellar,"sci-fi adventure drama","A group of astronauts travel through space to save humanity."
The Matrix,"sci-fi action","A hacker discovers that reality is a simulated world controlled by machines."
Tenet,"sci-fi action thriller","A secret agent manipulates time to prevent a global disaster."
Avatar,"sci-fi adventure","A marine explores an alien world and becomes part of its people."
The Dark Knight,"action crime drama","Batman faces a dangerous criminal who creates chaos in Gotham."
Iron Man,"action sci-fi superhero","A billionaire engineer builds a powerful armored suit."
Doctor Strange,"fantasy action superhero","A surgeon learns magic and protects reality from mystical threats."
Toy Story,"animation comedy family","Toys come to life and go on adventures with friendship and humor."
Finding Nemo,"animation adventure family","A clownfish searches the ocean to find his missing son."
Coco,"animation music family","A boy enters the land of the dead and discovers his family history."
Titanic,"romance drama","A love story happens during the tragic voyage of a famous ship."
La La Land,"romance music drama","A musician and an actress fall in love while chasing their dreams."
The Notebook,"romance drama","A couple experiences love, separation, and memories across many years."
John Wick,"action crime thriller","A retired assassin returns to the criminal world after a personal loss."
Mad Max Fury Road,"action adventure","A woman rebels against a tyrant in a post-apocalyptic desert."
